? | GET /api/v1/Exhibits/{Page Number} | List-All-Exhibits | resp=ExhibitData[list]
Individuals | GET /api/v1/Individuals/{Page Number} | List-all-Individuals | resp=IndividualData[list]
Individuals | POST /api/v1/Individuals/{Record Number}/Categories | Add-Categories-for-an-Individual | resp=null
Individuals | DELETE /api/v1/Individuals/{Record Number}/Categories/{Category Code} | Delete-a-Category-for-an-Individual | resp=null
Individuals | GET /api/v1/Individuals/Lookup/{pageNumber} | Individuals-LookupByName | resp=IndividualLookupBasicData[list]
Individuals | GET /api/v1/Individuals/Members/All/{Page Number} | List-of-All-Individual-Members | resp=IndividualData[list]
Individuals | GET /api/v1/Individuals/Members/FindByFirstName/{First Name}/{Page Number} | Find-Members-or-Individuals-by-First-Name | resp=IndividualData
Individuals | GET /api/v1/Individuals/Members/FindByLastName/{Last Name}/{Page Number} | Find-Members-or-Individuals-by-Last-Name | resp=IndividualData
Individuals | GET /api/v1/Individuals/Members/FindByName/{First Name}/{Last Name}/{Page Number} | Find-members-or-individuals-by-first-and-last-name | resp=IndividualData[list]
Individuals | GET /api/v1/Individuals/Members/FindByName/{Name}/{Page Number} | Find-Members-or-Individuals-by-Name | resp=IndividualData[list]
Individuals | GET /api/v1/Individuals/Profile/{idOrRecordNumberOrEmail}/{pageNumber}/ | Find-Individual-IDOrEmail | resp=IndividualData[list]
Members | GET /api/v1/Customers/Members/FindByName/{Name}/{Page Number} | Find-Members-by-Name | resp=ContactData[list]
Organization | POST /api/v1/Organizations | Add-Organization | resp=OrganizationData
Organization | PUT /api/v1/Organizations/{id} | Update-Organization | resp=OrganizationData
Organization | POST /api/v1/Organizations/{id}/Notes | Organization-AddNote | resp=null
Organization | GET /api/v1/Organizations/Lookup/{pageNumber} | Organization-LookupByName | resp=OrganizationLookupBasicData[list]
Organization | GET /api/v1/Organizations/Members/All/{Page Number} | List-of-All-Organization-Members | resp=OrganizationData[list]
Organization | GET /api/v1/Organizations/Profile/{idOrRecordnumber}/{pageNumber} | Organization-Get-Profile | resp=OrganizationData
Organizations | POST /api/v1/Organizations/{ID or Record Number}/Addresses | Add-or-Update-Address-to-Organization | resp=AddressSaveData
Organizations | GET /api/v1/Organizations/{ID or Record Number}/Certifications/{Page Number} | Get-List-of-Active-Certifications-for-an-Organization | resp=CertificationData[list]
Organizations | POST /api/v1/Organizations/{ID or Record Number}/CustomFieldsList | Add-or-Update-a-List-of-Custom-Fields-Per-Organization | resp=null
Organizations | DELETE /api/v1/Organizations/{ID or Record Number}/Links | Delete-an-Organization-Web-Link | resp=null
Organizations | POST /api/v1/Organizations/{ID or Record Number}/Links | Add-Web-Link-for-Organization | resp=null
Organizations | POST /api/v1/Organizations/{ID or Record Number}/Phones | Add-Phone-to-Organization | resp=PhoneDataSet
Organizations | PUT /api/v1/Organizations/{ID or Record Number}/Phones/{ID} | Update-Phone-for-an-Organization | resp=PhoneDataSet
Organizations | POST /api/v1/Organizations/{ID}/Activities | Add-Activity-to-Organization | resp=null
Organizations | GET /api/v1/Organizations/{ID}/CustomFields | Get-Organization-Custom-Field-Values | resp=null
Organizations | POST /api/v1/Organizations/{ID}/Emails | Add-Email-to-Organization | resp=null
Organizations | GET /api/v1/Organizations/{ID}/Memberships/Active | Get-Organization-Active-Memberships | resp=null
Organizations | GET /api/v1/Organizations/{ID}/Memberships/Inactive | Get-Organization-Inactive-Memberships | resp=MembershipData
Organizations | POST /api/v1/Organizations/{ID}/Relationships | Save-Relationship-for-Organization | resp=null
