package,current_version(s),latest_version,location_count,dep_type(s)
"@progress/kendo-angular-inputs","22.0.1 | *","22.0.1","17","dependencies | peer"
"@progress/kendo-angular-intl","22.0.1","22.0.1","2","dependencies"
"@progress/kendo-angular-l10n","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-angular-label","22.0.1 | *","22.0.1","5","dependencies | peer"
"@progress/kendo-angular-layout","22.0.1 | *","22.0.1","16","dependencies | peer"
"@progress/kendo-angular-listbox","22.0.1","22.0.1","4","peer | dependencies"
"@progress/kendo-angular-listview","22.0.1","22.0.1","3","dependencies"
"@progress/kendo-angular-menu","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-navigation","22.0.1 | *","22.0.1","3","dependencies | peer"
"@progress/kendo-angular-notification","22.0.1 | *","22.0.1","10","dependencies | peer"
"@progress/kendo-angular-pager","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-pdf-export","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-angular-popup","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-angular-progressbar","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-scheduler","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-sortable","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-toolbar","22.0.1","22.0.1","1","dependencies"
"@progress/kendo-angular-tooltip","22.0.1","22.0.1","3","dependencies"
"@progress/kendo-angular-treeview","22.0.1","22.0.1","5","dependencies"
"@progress/kendo-angular-upload","22.0.1","22.0.1","2","dependencies"
"@progress/kendo-angular-utils","22.0.1 | *","22.0.1","2","dependencies | peer"
"@progress/kendo-data-query","~1.7.0","1.7.3","1","dependencies"
"@progress/kendo-drawing","^1.0.0 | *","1.24.0","2","dependencies | peer"
"@progress/kendo-licensing","^1.3.5","1.10.0","1","dependencies"
"@progress/kendo-svg-icons","^4.0.0","4.8.0","1","dependencies"
"@progress/kendo-theme-default","10.0.0","12.3.0","4","dependencies"
"@sendgrid/mail","^8.1.3","8.1.6","1","dependencies"
"@tempfix/idb","^8.0.3","8.0.3","1","dependencies"
"@testing-library/jest-dom","^5.16.5","6.9.1","1","dev"
"@testing-library/react","^14.0.0","16.3.2","1","dev"
"@types/axios","^0.14.0","0.14.4","2","dependencies"
"@types/body-parser","^1.19.4","1.19.6","1","dev"
"@types/compression","^1.7.5","1.8.1","2","dev | dependencies"
"@types/cors","^2.8.13","2.8.19","1","dependencies"
"@types/d3","^7.4.3 | ^7.4.0","7.4.3","3","dependencies | dev"
"@types/d3-cloud","^1.2.9","1.2.9","1","dependencies"
"@types/d3-force","^3.0.10","3.0.10","1","dependencies"
"@types/d3-hierarchy","^3.1.7","3.1.7","1","dependencies"
"@types/d3-scale","^4.0.8","4.0.9","1","dependencies"
"@types/d3-shape","^3.1.6","3.1.8","1","dependencies"
"@types/debug","^4.1.12","4.1.12","4","dev"
"@types/express","^5.0.3 | ^5.0.0 | ^4.17.17","5.0.6","6","dev | dependencies"
"@types/figlet","^1.5.8","1.7.0","1","dev"
"@types/fs-extra","^11.0.4","11.0.4","2","dev"
"@types/html-to-text","^9.0.4","9.0.4","1","dependencies"
"@types/inquirer","^9.0.7","9.0.9","1","dev"
"@types/jest","^29.5.12 | ^29.5.13 | ^29.5.0","30.0.0","11","dev"
"@types/jsonwebtoken","9.0.6","9.0.10","1","dependencies"
"@types/lodash","^4.14.202","4.17.23","2","dev"
"@types/lodash.mergewith","^4.6.9","4.6.9","1","dev"
"@types/mssql","^9.1.5 | ^9.1.1","9.1.9","4","dev | dependencies"
"@types/node","^18.11.9 | ^18.11.0 | 20.14.2 | ^20.11.0 | 20.8.7 | ^20.10.0 | ^18.15.11 | ^20.14.10 | ^20.0.0 | ^18.18.0 | 20.10.0 | ^22.10.2","25.2.1","44","dev | dependencies"
"@types/nunjucks","^3.2.6","3.2.6","3","dev"
"@types/papaparse","^5.3.14","5.5.2","1","dev"
"@types/pdf-parse","^1.1.4","1.1.5","1","dev"
"@types/pg","^8.10.0","8.16.0","1","dev"
"@types/react","^18.2.0","19.2.13","1","dependencies"
"@types/react-dom","^18.2.0","19.2.3","1","dependencies"
"@types/uuid","^9.0.7 | ^9.0.1 | ^10.0.0","11.0.0","3","dev | dependencies"
"@types/validator","^13.11.7","13.15.10","1","dev"
"@types/ws","8.5.5","8.18.1","1","dependencies"
"@types/yargs","^17.0.32","17.0.35","1","dev"
"@xenova/transformers","^2.17.2","2.17.2","1","dependencies"
"@xmldom/xmldom","^0.8.10","0.8.11","1","dependencies"
"ag-grid-angular","^34.3.1","35.0.1","3","peer | dependencies"
"ag-grid-community","^34.3.1","35.0.1","3","peer | dependencies"
"ajv","^8.17.1 | ^8.12.0","8.17.1","2","dependencies"
"ajv-formats","^2.1.1","3.0.1","2","dependencies"
"archiver","^7.0.1","7.0.1","1","dependencies"
"axios","^1.7.7 | ^1.7.2 | ^1.6.0 | ^1.6.2 | ^1.6.8 | ^1.6.7","1.13.4","15","dependencies"
"axios-retry","^4.3.0 | 4.3.0","4.5.0","2","dependencies"
"babel-jest","^29.5.0","30.2.0","1","dev"
"babel-loader","^10.0.0","10.0.0","1","dev"
"body-parser","^1.20.2","2.2.2","1","dependencies"
"box-node-sdk","^10.0.0","10.3.0","1","dependencies"
"chalk","^4.1.2","5.6.2","7","dependencies"
"cheerio","^1.2.0","1.2.0","1","dependencies"
"chokidar","^3.6.0","5.0.0","1","dependencies"
"class-validator","^0.14.0","0.14.3","2","dependencies"
"cloudevents","^10","10.0.0","1","dependencies"
"codemirror","^6.0.1","6.0.2","2","dependencies"
"cohere-ai","^7.14.0","7.20.0","1","dependencies"
"commander","^11.1.0","14.0.3","3","dependencies"
"compression","^1.7.4","1.8.1","2","dependencies"
"cors","^2.8.5","2.8.6","2","dependencies"
